latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.28404,25.01195,309.11,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,285.87,0.68,N,0
12.74863,26.99237,319.39,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.22,1.97,N,0
11.63786,30.03894,307.5,0.53,0.5,2023-01-01,0001,N,VIIRS,n,2,287.94,0.6,N,0
11.64247,30.03977,303.79,0.53,0.5,2023-01-01,0001,N,VIIRS,n,2,288.13,0.6,N,0
11.57819,31.15143,302.09,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.26,2.11,N,0
11.57925,31.14561,305.61,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.85,1.86,N,0
11.79258,29.98701,298.72,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,287.8,0.55,N,0
11.57754,31.15204,303.3,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.29,1.56,N,0
11.57864,31.14624,306.18,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.66,1.56,N,0
12.51784,26.07742,323.73,0.45,0.39,2023-01-01,0001,N,VIIRS,n,2,289.09,2.47,N,0
13.55394,23.43976,304.87,0.38,0.36,2023-01-01,0001,N,VIIRS,n,2,283.46,0.2,N,0
11.46844,32.17692,304.89,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,282.5,1.38,N,0
11.48505,32.17671,316.29,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.01,1.49,N,0
11.49037,32.17777,304.18,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.12,1.1,N,0
11.49101,32.17436,318.96,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.35,1.1,N,0
11.49165,32.17095,302.85,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.72,0.94,N,0
11.49229,32.16754,301.56,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.49,0.94,N,0
11.49888,32.1618,307.74,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.15,1.71,N,0
11.4823,32.17776,311.42,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.88,0.63,N,0
11.48763,32.17881,301.62,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.11,0.71,N,0
11.48829,32.17541,311.1,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.98,0.71,N,0
11.49361,32.17646,303.9,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288,0.71,N,0
11.49427,32.17306,314.09,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.04,1.25,N,0
11.49494,32.16966,304.02,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.05,1.25,N,0
11.49626,32.16286,315.54,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.4,1.53,N,0
12.38358,28.07656,301.07,0.39,0.44,2023-01-01,0001,N,VIIRS,n,2,288.23,0.69,N,0
12.38758,28.07729,315.61,0.39,0.44,2023-01-01,0001,N,VIIRS,n,2,288.54,1.25,N,0
12.64567,26.95539,325.02,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.61,3.17,N,0
12.6494,26.95606,329.25,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.48,3.17,N,0
12.65312,26.95673,324.19,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.15,1.62,N,0
13.27847,25.0033,314.07,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,286.41,1.4,N,0
12.65685,26.9574,304.38,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.77,1.62,N,0
12.64719,26.95328,325.89,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.11,3.3,N,0
12.65091,26.95394,327.59,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.92,3.3,N,0
12.65464,26.95461,316.01,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.92,1.33,N,0
12.65837,26.95527,306.64,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.36,1.33,N,0
12.66397,26.98919,334.58,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.22,6.93,N,0
12.71268,26.97439,299.14,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,288.72,0.84,N,0
13.28465,25.00821,298.62,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,286,0.68,N,0
12.72014,26.97573,325.94,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.17,3.66,N,0
12.72386,26.97639,328.41,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.36,3.66,N,0
11.87713,32.68222,295.24,0.39,0.6,2023-01-01,0001,N,VIIRS,n,2,276.63,0.77,N,0
12.72759,26.97706,307.21,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.55,2.47,N,0
12.72681,26.98162,331.33,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.3,4.23,N,0
12.73054,26.98229,334.92,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.39,4.23,N,0
12.73349,26.98753,301.13,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.17,1.35,N,0
12.73427,26.98296,308.04,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.42,1.35,N,0
11.68861,32.80849,300.35,0.4,0.6,2023-01-01,0001,N,VIIRS,n,2,287.31,0.54,N,0
12.73722,26.9882,321.04,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.47,1.35,N,0
12.74095,26.98887,342.56,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.14,4.97,N,0
12.7439,26.9941,310.96,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.19,1.66,N,0
12.74468,26.98953,325.31,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.15,4.97,N,0
11.68733,32.80673,302.56,0.4,0.6,2023-01-01,0001,N,VIIRS,n,2,287.27,0.54,N,0
13.27786,25.00704,306.71,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,286.78,1.19,N,0
12.74763,26.99477,333.01,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.98,2.2,N,0
12.75059,27.00001,319.75,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.87,2.2,N,0
12.74782,26.99693,315.61,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.95,1.97,N,0
10.29658,19.26519,301.12,0.47,0.4,2023-01-01,0002,N,VIIRS,n,2,289.74,1.38,N,0
11.07056,13.63464,307.09,0.36,0.57,2023-01-01,0002,N,VIIRS,n,2,287.26,0.6,N,0
10.21445,19.64161,301.63,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,287.71,0.63,N,0
10.20496,19.6318,296.65,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,286.06,0.44,N,0
10.20435,19.63589,300.79,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,284.71,0.44,N,0
11.03454,13.1827,316.1,0.39,0.59,2023-01-01,0002,N,VIIRS,n,2,284.2,2.2,N,0
11.03411,13.18626,314.81,0.39,0.59,2023-01-01,0002,N,VIIRS,n,2,283.57,1.51,N,0
11.03367,13.18984,311.43,0.39,0.59,2023-01-01,0002,N,VIIRS,n,2,283.06,1.51,N,0
11.03323,13.19343,298.27,0.38,0.59,2023-01-01,0002,N,VIIRS,n,2,282.43,0.65,N,0
9.54184,23.66059,304.37,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,291.13,0.9,N,0
7.57406,34.68732,308.88,0.64,0.72,2023-01-01,0002,N,VIIRS,n,2,287.62,3.33,N,0
7.573,34.69279,309.34,0.64,0.72,2023-01-01,0002,N,VIIRS,n,2,288.03,2.52,N,0
9.53848,23.66006,306.66,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.56,0.58,N,0
7.5674,34.6861,303.01,0.64,0.72,2023-01-01,0002,N,VIIRS,n,2,287.8,2.38,N,0
10.31813,18.52041,297.42,0.51,0.41,2023-01-01,0002,N,VIIRS,n,2,286.55,0.44,N,0
9.53512,23.65952,302.17,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.27,0.58,N,0
9.71441,22.47463,315.24,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,292.37,1.19,N,0
9.71109,22.4741,306.48,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,291.84,1.19,N,0
9.5987,23.15915,300.3,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,288.9,0.66,N,0
10.14668,19.55574,307.06,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,290.88,0.58,N,0
9.6539,22.70803,305.77,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,288.24,0.55,N,0
11.03406,13.183,318.4,0.39,0.59,2023-01-01,0002,N,VIIRS,n,2,284.28,2.31,N,0
11.03359,13.18656,314.4,0.38,0.59,2023-01-01,0002,N,VIIRS,n,2,283.67,1.65,N,0
11.03313,13.19014,312.93,0.38,0.59,2023-01-01,0002,N,VIIRS,n,2,283.31,1.65,N,0
7.57024,34.68628,313.59,0.64,0.72,2023-01-01,0002,N,VIIRS,n,2,288.1,2.95,N,0
7.56922,34.69178,314.76,0.64,0.72,2023-01-01,0002,N,VIIRS,n,2,288.39,2.95,N,0
9.63292,22.69035,302.47,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,285.39,0.96,N,0
9.6296,22.68982,317.73,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,290.63,0.96,N,0
9.18571,25.40813,299.8,0.46,0.39,2023-01-01,0002,N,VIIRS,n,2,287.49,0.57,N,0
9.58747,22.91244,300.53,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.41,0.65,N,0
10.08348,19.64797,316.81,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,286.17,1.88,N,0
7.65654,33.97369,304.3,0.57,0.69,2023-01-01,0002,N,VIIRS,n,2,286.71,1.08,N,0
9.47009,23.53885,303.61,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,290.37,0.76,N,0
9.46674,23.53828,306.69,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,291.56,0.76,N,0
9.46617,23.54184,304.6,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,291.36,0.8,N,0
10.05369,19.70164,296.75,0.44,0.39,2023-01-01,0002,N,VIIRS,n,2,286.68,0.81,N,0
9.60808,22.61125,303.16,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,288.39,0.46,N,0
9.60477,22.61071,298.8,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,288.58,0.34,N,0
9.60035,22.61715,302.81,0.38,0.36,2023-01-01,0002,N,VIIRS,n,2,289.66,0.42,N,0
9.14615,25.40153,307.32,0.46,0.39,2023-01-01,0002,N,VIIRS,n,2,288.25,0.81,N,0
9.12746,25.40273,298.76,0.46,0.39,2023-01-01,0002,N,VIIRS,n,2,286.56,0.66,N,0
9.97189,20.03561,299.47,0.43,0.38,2023-01-01,0002,N,VIIRS,n,2,288.01,0.49,N,0
9.42699,23.55008,303.02,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,287.19,0.44,N,0
9.42598,23.53512,330.25,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,292.27,2.73,N,0
9.42364,23.54952,302.4,0.39,0.37,2023-01-01,0002,N,VIIRS,n,2,288.23,0.44,N,0
9.97131,20.03671,302.3,0.43,0.38,2023-01-01,0002,N,VIIRS,n,2,288.17,0.67,N,0
